,Nr,ADDRESS
0,102,"Karlaplan 13,115 20,STOCKHOLM,Stockholms län, Sweden"
1,104,"Nybrogatan 47,114 39,STOCKHOLM,Stockholms län, Sweden"
2,106,"Karlavägen 100 A,115 26,STOCKHOLM,Stockholms län, Sweden"
3,110,"Hötorgshallen,111 57,STOCKHOLM,Stockholms län, Sweden"
4,113,"Drottninggatan 45,111 21,STOCKHOLM,Stockholms län, Sweden"
5,114,"Norrlandsgatan 3,111 47,STOCKHOLM,Stockholms län, Sweden"
6,116,"Drottninggatan 22,111 51,STOCKHOLM,Stockholms län, Sweden"
7,132,"Rålambsvägen 7-9,112 59,STOCKHOLM,Stockholms län, Sweden"
8,133,"Kungsholmstorg 11 A,112 21,STOCKHOLM,Stockholms län, Sweden"
9,134,"Lindhagensgatan 118,112 51,STOCKHOLM,Stockholms län, Sweden"
10,137,"Fleminggatan 56,112 45,STOCKHOLM,Stockholms län, Sweden"
11,138,"Odengatan 92,113 22,STOCKHOLM,Stockholms län, Sweden"
12,140,"Solnavägen 2b,113 65,STOCKHOLM,Stockholms län, Sweden"
13,143,"Odengatan 58,113 22,STOCKHOLM,Stockholms län, Sweden"
14,144,"Birger Jarlsgatan 84,114 20,STOCKHOLM,Stockholms län, Sweden"
15,145,"Sveavägen 66,111 34,STOCKHOLM,Stockholms län, Sweden"
16,146,"Vasagatan 25,111 20,STOCKHOLM,Stockholms län, Sweden"
17,163,"Götgatan 132,S-118 62,STOCKHOLM,Stockholms län, Sweden"
18,165,"Folkungagatan 56,S-116 22,STOCKHOLM,Stockholms län, Sweden"
19,166,"Medborgarplatsen 3,118 26,STOCKHOLM,Stockholms län, Sweden"
20,167,"Folkungagatan 101,116 30,STOCKHOLM,Stockholms län, Sweden"
21,171,"Liljeholmstorget 3, plan 1,117 63,STOCKHOLM,Stockholms län, Sweden"
22,172,"Rosenlundsgatan 7,118 53,STOCKHOLM,Stockholms län, Sweden"
23,173,"Lugnets Allé 26-28,120 66,STOCKHOLM,Stockholms län, Sweden"
24,174,"Långholmsgatan 21A,S-117 33,STOCKHOLM,Stockholms län, Sweden"
